curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2015/2016,2015,ARTS PLÀSTIQUES I DISSENY,CFAS - TÈCNIQUES D'ACTUACIÓ TEATRAL,1,55,35,20,0,3
2015/2016,2015,BATXILLERAT,BATXILLERAT,1,47757,25855,21902,1245,720
2015/2016,2015,BATXILLERAT,BATXILLERAT,2,41368,22409,18959,1190,712
2015/2016,2015,BATXILLERAT,BATXILLERAT,NA,1210,611,599,0,11
2015/2016,2015,BATXILLERAT,"BATXILLERAT D'ARTS. VIA D'ARTS PLÀSTIQUES, DISSENY I IMATGE",NA,168,121,47,0,1
2015/2016,2015,BATXILLERAT,BATXILLERAT D'HUMANITATS I CIÈNCIES SOCIALS,NA,1126,611,515,0,1
2015/2016,2015,BATXILLERAT,BATXILLERAT DE CIÈNCIES I TECNOLOGIA,NA,634,286,348,0,1
2015/2016,2015,BATXILLERAT,BATXILLERAT NOMÉS MATÈRIES COMUNES,NA,39,20,19,0,1
2015/2016,2015,CONSERVACIÓ I RESTAURACIÓ DE BÉNS CULTURALS,CONSERVACIÓ I RESTAURACIÓ D'ESCULTURA,NA,19,18,1,0,1
2015/2016,2015,CONSERVACIÓ I RESTAURACIÓ DE BÉNS CULTURALS,CONSERVACIÓ I RESTAURACIÓ DE BÉNS ARQUEOLÒGICS,NA,17,14,3,0,1
2015/2016,2015,CONSERVACIÓ I RESTAURACIÓ DE BÉNS CULTURALS,CONSERVACIÓ I RESTAURACIÓ DE DOCUMENT GRÀFIC,NA,13,12,1,0,1
2015/2016,2015,CONSERVACIÓ I RESTAURACIÓ DE BÉNS CULTURALS,CONSERVACIÓ I RESTAURACIÓ DE PINTURA,NA,14,13,1,0,1
2015/2016,2015,CURSOS D'ACCÉS SENSE TITULACIÓ,CURS  ESPECÍFIC PER A l'ACCÉS ALS CICLES FORMATIUS DE GRAU MITJÀ D'FP,NA,584,259,325,0,34
2015/2016,2015,DANSA,COREOGRAFIA I INTERPRETACIÓ,NA,52,43,9,0,1
2015/2016,2015,DANSA,DANSA CLÀSSICA,NA,123,105,18,0,3
2015/2016,2015,DANSA,DANSA CONTEMPORÀNIA,NA,106,85,21,0,3
2015/2016,2015,DANSA,DANSA ESPANYOLA,NA,62,52,10,0,2
2015/2016,2015,DANSA,PEDAGOGIA DE LA DANSA,NA,39,37,2,0,1
2015/2016,2015,EDUCACIÓ D'ADULTS,ADAPTACIÓ DE L'EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA PER A PERSONES ADULTES,NA,15770,6991,8779,0,146
2015/2016,2015,EDUCACIÓ D'ADULTS,CICLE DE FORMACIÓ INSTRUMENTAL,NA,8043,4580,3463,0,125
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,ACCÈS A CICLES FORMATIUS DE GRAU MITJÀ,NA,1416,645,771,0,75
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,ACCÈS A LA UNIVERSITAT PER MAJORS 25,NA,2338,1281,1057,0,70
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,ACCÈS CICLES FORMATIUS DE GRAU SUPERIOR,NA,8853,4334,4519,0,157
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,INFORMÀTICA NIVELL USUARI,NA,9908,6436,3472,0,143
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,LLENGUA CASTELLANA,NA,6023,3356,2667,0,111
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,LLENGUA CATALANA,NA,6732,3954,2778,0,137
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,LLENGUA ESTRANGERA ANGLÈS INICIAL,NA,13588,9097,4491,0,154
2015/2016,2015,EDUCACIÓ D'ADULTS NO REGLATS,LLENGUA ESTRANGERA FRANCÈS INICIAL,NA,790,485,305,0,23
2015/2016,2015,EDUCACIÓ ESPECIAL,EBO,NA,5346,1890,3456,0,98
2015/2016,2015,EDUCACIÓ ESPECIAL,EDUCACIÓ ESPECIAL - INFANTIL,NA,461,162,299,0,63
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - ADMINISTRACIÓ I GESTIÓ,1,96,49,47,0,7
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - AGRÀRIA,1,100,22,78,0,7
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - ARTS GRÀFIQUES,1,88,34,54,0,6
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - COMERÇ I MÀRQUETING,1,81,35,46,0,6
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - EDIFICACIÓ I OBRA CIVIL,1,6,1,5,0,1
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - ELECTRICITAT I ELECTRÒNICA,1,9,0,9,0,1
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - FABRICACIÓ MECÀNICA,1,42,1,41,0,3
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - FUSTA I MOBLE,1,82,8,74,0,7
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - HOTELERIA I TURISME,1,185,77,108,0,10
2015/2016,2015,EDUCACIÓ ESPECIAL,EE - INSTAL·LACIÓ I MANTENIMENT,1,14,4,10,0,1
