curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2020/2021,2020,FORMACIÓ PROFESSIONAL,"CFPS - IL·LUMINACIÓ, CAPTACIÓ i TRACTAMENT D'IMATGE",2,245,106,139,6,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - IMATGE PER AL DIAGNÒSTIC I MEDICINA NUCLEAR,1,782,533,249,8,16
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - IMATGE PER AL DIAGNÒSTIC I MEDICINA NUCLEAR,2,5020,3782,1238,9,16
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - INTEGRACIÓ SOCIAL,1,2325,1835,490,71,56
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - INTEGRACIÓ SOCIAL,2,3896,3080,816,66,50
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - INTEGRACIÓ SOCIAL,P,4,3,1,0,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - INTEGRACIÓ SOCIAL,NA,2002,1643,359,0,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC,1,859,626,233,23,23
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC,2,905,666,239,23,23
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC,P,3,2,1,0,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC (RECERCA),1,30,24,6,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI CLÍNIC I BIOMÈDIC (RECERCA),2,27,20,7,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI D'ANÀLISI I CONTROL DE QUALITAT,1,501,256,245,19,17
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - LABORATORI D'ANÀLISI I CONTROL DE QUALITAT,2,586,313,273,19,17
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT AEROMECÀNIC,2,6,0,6,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT AEROMECÀNIC D'AVIONS AMB MOTOR DE TURBINA,1,24,2,22,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT AEROMECÀNIC D'AVIONS AMB MOTOR DE TURBINA,2,23,1,22,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT D'AVIÒNICA,2,34,0,34,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT D'INSTAL·LACIONS TÈRMIQUES I DE FLUIDS,1,118,1,117,7,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT D'INSTAL·LACIONS TÈRMIQUES I DE FLUIDS,2,103,0,103,7,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT ELECTRÒNIC,1,100,5,95,7,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MANTENIMENT ELECTRÒNIC,2,89,6,83,8,8
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MECATRÒNICA INDUSTRIAL,1,589,21,568,23,25
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MECATRÒNICA INDUSTRIAL,2,674,16,658,27,28
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MEDIACIÓ COMUNICATIVA,1,55,49,6,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MEDIACIÓ COMUNICATIVA,2,69,61,8,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT,1,1668,794,874,35,38
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT,2,2453,1272,1181,34,40
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT (ENOLÒGIC),1,41,15,26,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - MÀRQUETING I PUBLICITAT (ENOLÒGIC),2,33,17,16,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ DEL MANTENIMENT DE LA MAQUINÀRIA DE VAIXELLS I EMBARCACIONS,1,27,0,27,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ DEL MANTENIMENT DE LA MAQUINÀRIA DE VAIXELLS I EMBARCACIONS,2,32,2,30,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ I CONTROL D'OBRES DE CONSTRUCCIÓ,1,21,7,14,2,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ORGANITZACIÓ I CONTROL D'OBRES DE CONSTRUCCIÓ,2,22,6,16,2,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ORTOPRÒTESI I PRODUCTES DE SUPORT,1,13,6,7,0,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ORTOPRÒTESI I PRODUCTES DE SUPORT,2,11,2,9,0,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL,1,122,22,100,6,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL,2,107,22,85,6,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL (GESTIÓ AGROPECUÀRIA),1,38,7,31,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PAISATGISME I MEDI RURAL (GESTIÓ AGROPECUÀRIA),2,32,0,32,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PATRONATGE I MODA,1,140,115,25,5,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PATRONATGE I MODA,2,136,119,17,5,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PREVENCIÓ DE RISCOS PROFESSIONALS,1,71,28,43,4,4
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PREVENCIÓ DE RISCOS PROFESSIONALS,2,88,28,60,6,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PREVENCIÓ DE RISCOS PROFESSIONALS,NA,612,291,321,0,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROCESSOS I QUALITAT EN LA INDÚSRIA ALIMENTÀRIA,1,102,47,55,6,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROCESSOS I QUALITAT EN LA INDÚSRIA ALIMENTÀRIA,2,86,49,37,4,5
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PRODUCCIÓ D'AUDIOVISUALS I ESPECTACLES,1,254,113,141,6,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PRODUCCIÓ D'AUDIOVISUALS I ESPECTACLES,2,212,78,134,6,7
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE LA PRODUCCIÓ EN L'EMMOTLLAMENT DE METALLS I POLÍMERS,1,17,1,16,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE LA PRODUCCIÓ EN L'EMMOTLLAMENT DE METALLS I POLÍMERS,2,22,0,22,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE PRODUCCIÓ EN FABRICACIÓ MECANICA (MOTLLES I MATRIUS),1,33,0,33,2,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE PRODUCCIÓ EN FABRICACIÓ MECANICA (MOTLLES I MATRIUS),2,38,1,37,2,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE PRODUCCIÓ EN FABRICACIÓ MECÀNICA,1,335,8,327,16,19
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROGRAMACIÓ DE PRODUCCIÓ EN FABRICACIÓ MECÀNICA,2,345,16,329,17,19
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ,1,91,31,60,5,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ,2,96,29,67,5,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ (REHABILITACIÓ I RESTAURACIÓ),1,71,26,45,4,4
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'EDIFICACIÓ (REHABILITACIÓ I RESTAURACIÓ),2,52,15,37,4,4
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'OBRA CIVIL,1,28,7,21,2,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROJECTES D'OBRA CIVIL,2,26,7,19,2,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROMOCIÓ DE LA IGUALTAT DE GÈNERE,1,73,67,6,2,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PROMOCIÓ DE LA IGUALTAT DE GÈNERE,2,83,75,8,2,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PRÒTESIS DENTALS,1,183,132,51,3,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - PRÒTESIS DENTALS,2,201,143,58,3,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - QUÍMICA AMBIENTAL,1,48,21,27,4,4
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - QUÍMICA I SALUT AMBIENTAL,1,100,54,46,5,5
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - QUÍMICA INDUSTRIAL,1,237,74,163,10,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - QUÍMICA INDUSTRIAL,2,305,62,243,11,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - RADIOTERÀPIA I DOSIMETRIA,1,51,38,13,1,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - RADIOTERÀPIA I DOSIMETRIA,2,71,52,19,1,2
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - RAMADERIA I ASSISTÈNCIA EN SANITAT ANIMAL,1,152,91,61,5,4
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - RAMADERIA I ASSISTÈNCIA EN SANITAT ANIMAL,2,136,80,56,4,4
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - REALITZACIÓ DE PROJECTES AUDIOVISUALS I ESPECTACLES,1,367,141,226,6,10
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - REALITZACIÓ DE PROJECTES AUDIOVISUALS I ESPECTACLES,2,597,255,342,6,10
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SALUT AMBIENTAL,2,77,44,33,4,4
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SISTEMES DE TELECOMUNICACIONS I INFORMÀTICS,1,186,14,172,9,10
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SISTEMES DE TELECOMUNICACIONS I INFORMÀTICS,2,201,15,186,9,10
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SISTEMES ELECTROTÈCNICS I AUTOMATITZATS,1,321,11,310,17,18
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SISTEMES ELECTROTÈCNICS I AUTOMATITZATS,2,287,10,277,17,18
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SISTEMES ELECTROTÈCNICS I AUTOMATITZATS (INSTAL. ELÈCTRIQUES I COMUNICACIÓ DE VAIXELLS),1,27,2,25,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SISTEMES ELECTROTÈCNICS I AUTOMATITZATS (INSTAL. ELÈCTRIQUES I COMUNICACIÓ DE VAIXELLS),2,18,2,16,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SO PER AUDIOVISUALS I ESPECTACLES,1,221,33,188,6,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - SO PER AUDIOVISUALS I ESPECTACLES,2,256,33,223,6,6
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - TRANSPORT I LOGÍSTICA,1,426,111,315,13,14
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - TRANSPORT I LOGÍSTICA,2,915,321,594,16,17
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - TRANSPORT MARÍTIM I PESCA D'ALTURA,1,47,8,39,2,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - TRANSPORT MARÍTIM I PESCA D'ALTURA,2,59,3,56,2,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - VESTUARI A MIDA PER ESPECTACLES,1,58,49,9,2,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - VESTUARI A MIDA PER ESPECTACLES,2,56,49,7,2,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - VITIVINICULTURA,1,49,19,30,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - VITIVINICULTURA,2,44,11,33,3,3
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ÒPTICA D'ULLERA,1,17,10,7,1,1
2020/2021,2020,FORMACIÓ PROFESSIONAL,CFPS - ÒPTICA D'ULLERA,2,21,13,8,1,1
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,AUXILIAR EN MANTENIMENT D'INSTAL·LACIONS ESPORTIVES,1,79,11,68,0,10
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,AUXILIAR EN MANTENIMENT D'INSTAL·LACIONS ESPORTIVES,2,17,4,13,0,2
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN CURA D'ANIMALS I ESPAIS VERDS,1,55,15,40,0,7
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN CURA D'ANIMALS I ESPAIS VERDS,2,62,18,44,0,8
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN CURA D'ANIMALS I ESPAIS VERDS,3,30,14,16,0,5
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN CURA D'ANIMALS I ESPAIS VERDS,4,34,14,20,0,5
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN VENDES I ATENCIÓ AL PÚBLIC,1,163,75,88,0,16
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN VENDES I ATENCIÓ AL PÚBLIC,2,147,62,85,0,15
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN VENDES I ATENCIÓ AL PÚBLIC,3,123,51,72,0,13
2020/2021,2020,ITINERARIS FORMATIUS ESPECÍFICS,IFE - AUXILIAR EN VENDES I ATENCIÓ AL PÚBLIC,4,74,31,43,0,10
2020/2021,2020,MÚSICA,ACORDIÓ,1,6,6,0,0,4
2020/2021,2020,MÚSICA,ACORDIÓ,2,6,1,5,0,5
2020/2021,2020,MÚSICA,ACORDIÓ,3,10,7,3,0,5
2020/2021,2020,MÚSICA,ACORDIÓ,4,6,5,1,0,5
2020/2021,2020,MÚSICA,ACORDIÓ,5,3,1,2,0,2
2020/2021,2020,MÚSICA,ACORDIÓ,6,6,4,2,0,4
2020/2021,2020,MÚSICA,ACORDIÓ (MÚSICA TRADICIONAL),5,1,1,0,0,1
2020/2021,2020,MÚSICA,ACORDIÓ DIATÓNIC (INTERPRETACIÓ: MÚSICA TRADICIONAL I FLAMENC),1,1,0,1,0,1
2020/2021,2020,MÚSICA,ACORDIÓ DIÀTONIC (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),1,1,1,0,0,1
2020/2021,2020,MÚSICA,ACORDIÓ DIÀTONIC (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),3,1,0,1,0,1
2020/2021,2020,MÚSICA,ARPA,1,3,2,1,0,3
2020/2021,2020,MÚSICA,ARPA,2,2,1,1,0,2
2020/2021,2020,MÚSICA,ARPA,3,5,3,2,0,3
2020/2021,2020,MÚSICA,ARPA,4,4,3,1,0,3
2020/2021,2020,MÚSICA,ARPA,5,1,1,0,0,1
2020/2021,2020,MÚSICA,ARPA,6,4,4,0,0,2
2020/2021,2020,MÚSICA,ARPA (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),1,1,1,0,0,1
2020/2021,2020,MÚSICA,ARPA (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),2,2,1,1,0,2
2020/2021,2020,MÚSICA,BAIX ELÈCTRIC,2,1,0,1,0,1
2020/2021,2020,MÚSICA,BAIX ELÈCTRIC,5,3,0,3,0,1
2020/2021,2020,MÚSICA,BAIX ELÈCTRIC,6,1,0,1,0,1
2020/2021,2020,MÚSICA,BAIX ELÈCTRIC (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),1,14,0,14,0,4
2020/2021,2020,MÚSICA,BAIX ELÈCTRIC (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),2,10,1,9,0,3
2020/2021,2020,MÚSICA,BAIX ELÈCTRIC (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),3,9,0,9,0,4
2020/2021,2020,MÚSICA,BAIX ELÈCTRIC (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),4,14,0,14,0,4
2020/2021,2020,MÚSICA,BATERIA (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),1,21,3,18,0,4
2020/2021,2020,MÚSICA,BATERIA (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),2,10,1,9,0,4
2020/2021,2020,MÚSICA,BATERIA (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),3,13,0,13,0,4
2020/2021,2020,MÚSICA,BATERIA (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),4,28,1,27,0,3
2020/2021,2020,MÚSICA,CANT,1,14,11,3,0,8
2020/2021,2020,MÚSICA,CANT,2,18,14,4,0,10
2020/2021,2020,MÚSICA,CANT,3,29,24,5,0,13
2020/2021,2020,MÚSICA,CANT,4,26,23,3,0,14
2020/2021,2020,MÚSICA,CANT,5,37,30,7,0,15
2020/2021,2020,MÚSICA,CANT,6,25,19,6,0,9
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),1,16,11,5,0,2
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),2,20,16,4,0,2
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),3,19,12,7,0,2
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),4,16,11,5,0,2
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),1,20,18,2,0,4
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),2,14,12,2,0,3
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),3,19,16,3,0,4
2020/2021,2020,MÚSICA,CANT (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),4,23,18,5,0,4
2020/2021,2020,MÚSICA,CANT FLAMENC (INTERPRETACIÓ: MÚSICA TRADICIONAL),1,2,2,0,0,1
2020/2021,2020,MÚSICA,CANT FLAMENC (INTERPRETACIÓ: MÚSICA TRADICIONAL),3,1,1,0,0,1
2020/2021,2020,MÚSICA,CANT FLAMENC (INTERPRETACIÓ: MÚSICA TRADICIONAL),4,4,4,0,0,1
2020/2021,2020,MÚSICA,CANT HISTÒRIC (INTERPRETACIÓ: MÚSICA ANTIGA),1,2,2,0,0,1
2020/2021,2020,MÚSICA,CANT HISTÒRIC (INTERPRETACIÓ: MÚSICA ANTIGA),2,2,1,1,0,1
2020/2021,2020,MÚSICA,CANT HISTÒRIC (INTERPRETACIÓ: MÚSICA ANTIGA),3,2,1,1,0,1
2020/2021,2020,MÚSICA,CANT HISTÒRIC (INTERPRETACIÓ: MÚSICA ANTIGA),4,3,1,2,0,1
2020/2021,2020,MÚSICA,CLARINET,1,35,15,20,0,20
2020/2021,2020,MÚSICA,CLARINET,2,33,16,17,0,18
2020/2021,2020,MÚSICA,CLARINET,3,31,19,12,0,15
2020/2021,2020,MÚSICA,CLARINET,4,26,17,9,0,16
2020/2021,2020,MÚSICA,CLARINET,5,37,12,25,0,19
2020/2021,2020,MÚSICA,CLARINET,6,38,21,17,0,21
2020/2021,2020,MÚSICA,CLARINET (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),1,7,3,4,0,2
2020/2021,2020,MÚSICA,CLARINET (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),2,7,3,4,0,2
2020/2021,2020,MÚSICA,CLARINET (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),3,4,1,3,0,2
2020/2021,2020,MÚSICA,CLARINET (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),4,3,0,3,0,1
2020/2021,2020,MÚSICA,CLARINET (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),1,2,1,1,0,2
2020/2021,2020,MÚSICA,CLARINET (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),3,2,0,2,0,2
2020/2021,2020,MÚSICA,CLARINET (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),4,1,1,0,0,1
2020/2021,2020,MÚSICA,CLAVICÈMBAL,1,2,0,2,0,2
2020/2021,2020,MÚSICA,CLAVICÈMBAL,2,1,1,0,0,1
2020/2021,2020,MÚSICA,CLAVICÈMBAL,3,2,2,0,0,2
2020/2021,2020,MÚSICA,CLAVICÈMBAL,4,1,0,1,0,1
2020/2021,2020,MÚSICA,CLAVICÈMBAL (INTERPRETACIÓ: MÚSICA ANTIGA),1,1,0,1,0,1
2020/2021,2020,MÚSICA,COMPOSICIÓ,1,21,7,14,0,3
2020/2021,2020,MÚSICA,COMPOSICIÓ,2,19,4,15,0,3
2020/2021,2020,MÚSICA,COMPOSICIÓ,3,18,1,17,0,3
2020/2021,2020,MÚSICA,COMPOSICIÓ,4,14,2,12,0,3
2020/2021,2020,MÚSICA,CONTRABAIX,1,14,5,9,0,10
2020/2021,2020,MÚSICA,CONTRABAIX,2,26,6,20,0,13
2020/2021,2020,MÚSICA,CONTRABAIX,3,16,6,10,0,12
2020/2021,2020,MÚSICA,CONTRABAIX,4,11,5,6,0,8
2020/2021,2020,MÚSICA,CONTRABAIX,5,10,3,7,0,8
2020/2021,2020,MÚSICA,CONTRABAIX,6,11,4,7,0,8
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),1,4,2,2,0,1
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),2,2,1,1,0,1
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),3,4,2,2,0,2
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),4,5,1,4,0,2
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),1,3,0,3,0,2
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),2,3,0,3,0,2
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),3,4,0,4,0,2
2020/2021,2020,MÚSICA,CONTRABAIX (INTERPRETACIÓ: JAZZ I MÚSICA MODERNA),4,6,1,5,0,3
2020/2021,2020,MÚSICA,CORNAMUSA (INTERPRETACIÓ: MÚSICA TRADICIONAL I FLAMENC),2,1,0,1,0,1
2020/2021,2020,MÚSICA,FAGOT,1,11,4,7,0,9
2020/2021,2020,MÚSICA,FAGOT,2,6,4,2,0,5
2020/2021,2020,MÚSICA,FAGOT,3,6,1,5,0,6
2020/2021,2020,MÚSICA,FAGOT,4,9,6,3,0,8
2020/2021,2020,MÚSICA,FAGOT,5,7,3,4,0,5
2020/2021,2020,MÚSICA,FAGOT,6,12,6,6,0,9
2020/2021,2020,MÚSICA,FAGOT (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),1,1,1,0,0,1
2020/2021,2020,MÚSICA,FAGOT (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),2,3,2,1,0,2
2020/2021,2020,MÚSICA,FAGOT (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),3,3,1,2,0,2
2020/2021,2020,MÚSICA,FAGOTS HISTÒRICS (INTERPRETACIÓ: MÚSICA ANTIGA),1,1,0,1,0,1
2020/2021,2020,MÚSICA,FAGOTS HISTÒRICS (INTERPRETACIÓ: MÚSICA ANTIGA),4,1,0,1,0,1
2020/2021,2020,MÚSICA,FLABIOL I TAMBORÍ,1,2,2,0,0,2
2020/2021,2020,MÚSICA,FLABIOL I TAMBORÍ,3,3,3,0,0,3
2020/2021,2020,MÚSICA,FLABIOL I TAMBORÍ,5,1,0,1,0,1
2020/2021,2020,MÚSICA,FLABIOL I TAMBORÍ,6,1,0,1,0,1
2020/2021,2020,MÚSICA,FLABIOL I TAMBORÍ (INTERPRETACIÓ: MÚSICA TRADICIONAL),2,1,0,1,0,1
2020/2021,2020,MÚSICA,FLABIOL I TAMBORÍ (INTERPRETACIÓ: MÚSICA TRADICIONAL),3,1,1,0,0,1
2020/2021,2020,MÚSICA,FLAUTA DE BEC,1,3,1,2,0,2
2020/2021,2020,MÚSICA,FLAUTA DE BEC,2,7,3,4,0,6
2020/2021,2020,MÚSICA,FLAUTA DE BEC,3,4,2,2,0,3
2020/2021,2020,MÚSICA,FLAUTA DE BEC,4,5,3,2,0,4
2020/2021,2020,MÚSICA,FLAUTA DE BEC,5,3,2,1,0,3
2020/2021,2020,MÚSICA,FLAUTA DE BEC,6,4,4,0,0,4
2020/2021,2020,MÚSICA,FLAUTA DE BEC (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),1,2,2,0,0,1
2020/2021,2020,MÚSICA,FLAUTA DE BEC (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),2,1,1,0,0,1
2020/2021,2020,MÚSICA,FLAUTA DE BEC (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),3,1,1,0,0,1
2020/2021,2020,MÚSICA,FLAUTA DE BEC (INTERPRETACIÓ: MÚSICA ANTIGA),3,2,2,0,0,1
2020/2021,2020,MÚSICA,FLAUTA TRAVESSERA,1,35,28,7,0,20
2020/2021,2020,MÚSICA,FLAUTA TRAVESSERA,2,41,36,5,0,20
2020/2021,2020,MÚSICA,FLAUTA TRAVESSERA,3,41,35,6,0,20
2020/2021,2020,MÚSICA,FLAUTA TRAVESSERA,4,57,46,11,0,22
2020/2021,2020,MÚSICA,FLAUTA TRAVESSERA,5,51,40,11,0,20
2020/2021,2020,MÚSICA,FLAUTA TRAVESSERA,6,65,54,11,0,20
2020/2021,2020,MÚSICA,FLAUTA TRAVESSERA (INTERPRETACIÓ: CLÀSSICA I CONTEMPORÀNIA),1,5,3,2,0,1
